business_id,name,categories,latitude,longitude
osm_Vikram Hospitals_hospital,Vikram Hospitals,hospital,17.4406857,78.3916647
osm_Image Hospitals_hospital,Image Hospitals,hospital,17.4444337,78.3860746
osm_Ameerpet Government Hospital_hospital,Ameerpet Government Hospital,hospital,17.4417142,78.4478775
osm_Sri Vijaya Hospitals_hospital,Sri Vijaya Hospitals,hospital,17.4422795,78.4480341
osm_Sree Priya Multi Speciality Hospital_hospital,Sree Priya Multi Speciality Hospital,hospital,17.4415414,78.4461255
osm_Rahmat Ali hospital_hospital,Rahmat Ali hospital,hospital,17.3672265,78.4859878
osm_Satya Hospital_hospital,Satya Hospital,hospital,17.407574,78.512174
osm_Innova Children's Heart Hospital_hospital,Innova Children's Heart Hospital,hospital,17.4293162,78.533452
osm_Apollo Clinic_hospital,Apollo Clinic,hospital,17.4290954,78.5333362
osm_Vasavi ENT Hospital_hospital,Vasavi ENT Hospital,hospital,17.40681,78.4645023
osm_Mahavir Hospital and Research Centre_hospital,Mahavir Hospital and Research Centre,hospital,17.4036641,78.4570626
osm_Old Apollo Hospital_hospital,Old Apollo Hospital,hospital,17.3985586,78.4814113
osm_Krishna Children's Hospital_hospital,Krishna Children's Hospital,hospital,17.4021334,78.4625295
osm_Arogyasree Health care trust_hospital,Arogyasree Health care trust,hospital,17.4301742,78.3937323
osm_Surojini Devi Eye Hospital_hospital,Surojini Devi Eye Hospital,hospital,17.3990359,78.4447966
osm_Star Hospital_hospital,Star Hospital,hospital,17.4156911,78.4454609
osm_Rainbow Hospitals_hospital,Rainbow Hospitals,hospital,17.4148145,78.4475692
osm_Fernandez Hospital_hospital,Fernandez Hospital,hospital,17.3921498,78.4793651
osm_Remedy Hospitals_hospital,Remedy Hospitals,hospital,17.4636217,78.4567398
osm_LEAF HOSPITAL_hospital,LEAF HOSPITAL,hospital,17.4629614,78.3673949
osm_Ambicare Hospital_hospital,Ambicare Hospital,hospital,17.4535178,78.364084
osm_L.K. Diagnostic_hospital,L.K. Diagnostic,hospital,17.4512881,78.5354859
osm_L.K. Hospitals_hospital,L.K. Hospitals,hospital,17.4513853,78.5352525
osm_Dental Hospital_hospital,Dental Hospital,hospital,17.451435,78.5311968
osm_Lakshmi Childrens Hospital_hospital,Lakshmi Childrens Hospital,hospital,17.3688309,78.5301893
osm_Apollo Emergency Hospital_hospital,Apollo Emergency Hospital,hospital,17.3993955,78.4792005
osm_Omni Hospital_hospital,Omni Hospital,hospital,17.3684777,78.5387483
osm_haritha hospitals_hospital,haritha hospitals,hospital,17.4696017,78.3660584
osm_Care Clinic_hospital,Care Clinic,hospital,17.4206569,78.4481619
osm_Anupama Hospital_hospital,Anupama Hospital,hospital,17.4856038,78.3903262
osm_Anu Test Tube Centre_hospital,Anu Test Tube Centre,hospital,17.4217792,78.4602059
osm_Hope Children's Hospital_hospital,Hope Children's Hospital,hospital,17.4064283,78.4738814
osm_Swapna Health Care_hospital,Swapna Health Care,hospital,17.4291646,78.4567382
osm_OZONE HOSPITALS_hospital,OZONE HOSPITALS,hospital,17.3594287,78.5450683
osm_Asian Institute of Gastroenterology_hospital,Asian Institute of Gastroenterology,hospital,17.4211366,78.4566557
osm_Matpathy Clinic_hospital,Matpathy Clinic,hospital,17.4068493,78.3922011
osm_Lucid Clinic_hospital,Lucid Clinic,hospital,17.4979039,78.3911608
osm_Yashoda Super Speciality Hospital_hospital,Yashoda Super Speciality Hospital,hospital,17.3746556,78.4998723
osm_Tarnaka Flyover;TGSRTC Hospital_hospital,Tarnaka Flyover;TGSRTC Hospital,hospital,17.4255371,78.5306786
osm_Nova ENT Hospital_hospital,Nova ENT Hospital,hospital,17.4184365,78.457264
osm_Mamata Nursing Home_hospital,Mamata Nursing Home,hospital,17.4888555,78.3959947
